Site,Treatment,Location,Block,Year,Date,Days.After.Planting
Mandan,BAU,I1,I,2019,703,47
Mandan,BAU,I1,I,2019,1023,159
Mandan,BAU,I2,I,2019,703,47
Mandan,BAU,I2,I,2019,1023,159
Mandan,BAU,I3,I,2019,703,47
Mandan,BAU,I3,I,2019,1023,159
Mandan,BAU,A1,A,2020,619,30
Mandan,BAU,A1,A,2020,730,71
Mandan,BAU,A2,A,2020,619,30
Mandan,BAU,A2,A,2020,730,71
Mandan,BAU,A3,A,2020,619,30
Mandan,BAU,A3,A,2020,730,71
Mandan,BAU,B1,B,2020,619,30
Mandan,BAU,B1,B,2020,730,71
Mandan,BAU,B2,B,2020,619,30
Mandan,BAU,B2,B,2020,730,71
Mandan,BAU,B3,B,2020,619,30
Mandan,BAU,B3,B,2020,730,71
Mandan,BAU,C1,C,2020,619,30
Mandan,BAU,C1,C,2020,730,71
Mandan,BAU,C2,C,2020,619,30
Mandan,BAU,C2,C,2020,730,71
Mandan,BAU,C3,C,2020,619,30
Mandan,BAU,C3,C,2020,730,71
Mandan,BAU,D1,D,2020,619,30
Mandan,BAU,D1,D,2020,730,71
Mandan,BAU,D2,D,2020,619,30
Mandan,BAU,D2,D,2020,730,71
Mandan,BAU,D3,D,2020,619,30
Mandan,BAU,D3,D,2020,730,71
Mandan,BAU,E1,E,2020,619,30
Mandan,BAU,E1,E,2020,730,71
Mandan,BAU,E2,E,2020,619,30
Mandan,BAU,E2,E,2020,730,71
Mandan,BAU,E3,E,2020,619,30
Mandan,BAU,E3,E,2020,730,71
Mandan,BAU,F1,F,2020,619,30
Mandan,BAU,F1,F,2020,730,71
Mandan,BAU,F2,F,2020,619,30
Mandan,BAU,F2,F,2020,730,71
Mandan,BAU,F3,F,2020,619,30
Mandan,BAU,F3,F,2020,730,71
Mandan,BAU,G1,G,2020,619,30
Mandan,BAU,G1,G,2020,730,71
Mandan,BAU,G2,G,2020,619,30
Mandan,BAU,G2,G,2020,730,71
Mandan,BAU,G3,G,2020,619,30
Mandan,BAU,G3,G,2020,730,71
Mandan,BAU,H1,H,2020,619,30
Mandan,BAU,H1,H,2020,730,71
Mandan,BAU,H2,H,2020,619,30
Mandan,BAU,H2,H,2020,730,71
Mandan,BAU,H3,H,2020,619,30
Mandan,BAU,H3,H,2020,730,71
Mandan,BAU,I1,I,2020,619,30
Mandan,BAU,I1,I,2020,730,71
Mandan,BAU,I2,I,2020,619,30
Mandan,BAU,I2,I,2020,730,71
Mandan,BAU,I3,I,2020,619,30
Mandan,BAU,I3,I,2020,730,71
Mandan,BAU,A1,A,2021,726,59
Mandan,BAU,A1,A,2021,831,96
Mandan,BAU,A1,A,2021,929,125
Mandan,BAU,A2,A,2021,726,59
Mandan,BAU,A2,A,2021,831,96
Mandan,BAU,A2,A,2021,929,125
Mandan,BAU,A3,A,2021,726,59
Mandan,BAU,A3,A,2021,831,96
Mandan,BAU,A3,A,2021,929,125
Mandan,BAU,B1,B,2021,726,59
Mandan,BAU,B1,B,2021,831,96
Mandan,BAU,B1,B,2021,929,125
Mandan,BAU,B2,B,2021,726,59
Mandan,BAU,B2,B,2021,831,96
Mandan,BAU,B2,B,2021,929,125
Mandan,BAU,B3,B,2021,726,59
Mandan,BAU,B3,B,2021,831,96
Mandan,BAU,B3,B,2021,929,125
Mandan,BAU,C1,C,2021,726,59
Mandan,BAU,C1,C,2021,831,96
Mandan,BAU,C1,C,2021,929,125
Mandan,BAU,C2,C,2021,726,59
Mandan,BAU,C2,C,2021,831,96
Mandan,BAU,C2,C,2021,929,125
Mandan,BAU,C3,C,2021,726,59
Mandan,BAU,C3,C,2021,831,96
Mandan,BAU,C3,C,2021,929,125
Mandan,BAU,D1,D,2021,726,59
Mandan,BAU,D1,D,2021,831,96
Mandan,BAU,D1,D,2021,929,125
Mandan,BAU,D2,D,2021,726,59
Mandan,BAU,D2,D,2021,831,96
Mandan,BAU,D2,D,2021,929,125
Mandan,BAU,D3,D,2021,726,59
Mandan,BAU,D3,D,2021,831,96
Mandan,BAU,D3,D,2021,929,125
Mandan,BAU,E1,E,2021,726,59
Mandan,BAU,E1,E,2021,831,96
Mandan,BAU,E1,E,2021,929,125
Mandan,BAU,E2,E,2021,726,59
Mandan,BAU,E2,E,2021,831,96
Mandan,BAU,E2,E,2021,929,125
Mandan,BAU,E3,E,2021,726,59
Mandan,BAU,E3,E,2021,831,96
Mandan,BAU,E3,E,2021,929,125
Mandan,BAU,F1,F,2021,726,59
Mandan,BAU,F1,F,2021,831,96
Mandan,BAU,F1,F,2021,929,125
Mandan,BAU,F2,F,2021,726,59
Mandan,BAU,F2,F,2021,831,96
Mandan,BAU,F2,F,2021,929,125
Mandan,BAU,F3,F,2021,726,59
Mandan,BAU,F3,F,2021,831,96
Mandan,BAU,F3,F,2021,929,125
Mandan,BAU,G1,G,2021,726,59
Mandan,BAU,G1,G,2021,831,96
Mandan,BAU,G1,G,2021,929,125
Mandan,BAU,G2,G,2021,726,59
Mandan,BAU,G2,G,2021,831,96
Mandan,BAU,G2,G,2021,929,125
Mandan,BAU,G3,G,2021,726,59
Mandan,BAU,G3,G,2021,831,96
Mandan,BAU,G3,G,2021,929,125
Mandan,BAU,H1,H,2021,726,59
Mandan,BAU,H1,H,2021,831,96
Mandan,BAU,H1,H,2021,929,125
Mandan,BAU,H2,H,2021,726,59
Mandan,BAU,H2,H,2021,831,96
Mandan,BAU,H2,H,2021,929,125
Mandan,BAU,H3,H,2021,726,59
Mandan,BAU,H3,H,2021,831,96
Mandan,BAU,H3,H,2021,929,125
Mandan,BAU,I1,I,2021,726,59
Mandan,BAU,I1,I,2021,831,96
Mandan,BAU,I1,I,2021,929,125
Mandan,BAU,I2,I,2021,726,59
Mandan,BAU,I2,I,2021,831,96
Mandan,BAU,I2,I,2021,929,125
Mandan,BAU,I3,I,2021,726,59
Mandan,BAU,I3,I,2021,831,96
Mandan,BAU,I3,I,2021,929,125
Mandan,BAU,A1,A,2022,624,30
Mandan,BAU,A1,A,2022,728,64
Mandan,BAU,A1,A,2022,825,92
Mandan,BAU,A2,A,2022,624,30
Mandan,BAU,A2,A,2022,728,64
Mandan,BAU,A2,A,2022,825,92
Mandan,BAU,A3,A,2022,624,30
Mandan,BAU,A3,A,2022,825,92
Mandan,BAU,B1,B,2022,624,30
Mandan,BAU,B1,B,2022,825,92
Mandan,BAU,B2,B,2022,624,30
Mandan,BAU,B3,B,2022,624,30
Mandan,BAU,C1,C,2022,624,30
Mandan,BAU,C1,C,2022,825,92
Mandan,BAU,C2,C,2022,624,30
Mandan,BAU,C2,C,2022,825,92
Mandan,BAU,C3,C,2022,624,30
Mandan,BAU,C3,C,2022,825,92
Mandan,BAU,D1,D,2022,624,30
Mandan,BAU,D1,D,2022,825,92
Mandan,BAU,D2,D,2022,624,30
Mandan,BAU,D2,D,2022,825,92
Mandan,BAU,D3,D,2022,624,30
Mandan,BAU,D3,D,2022,728,64
Mandan,BAU,D3,D,2022,825,92
Mandan,BAU,E1,E,2022,624,30
Mandan,BAU,E1,E,2022,728,64
Mandan,BAU,E2,E,2022,624,30
Mandan,BAU,E2,E,2022,825,92
Mandan,BAU,E3,E,2022,624,30
Mandan,BAU,E3,E,2022,825,92
Mandan,BAU,F1,F,2022,624,30
Mandan,BAU,F2,F,2022,624,30
Mandan,BAU,F2,F,2022,825,92
Mandan,BAU,F3,F,2022,624,30
Mandan,BAU,F3,F,2022,825,92
Mandan,BAU,G1,G,2022,624,30
Mandan,BAU,G1,G,2022,728,64
Mandan,BAU,G1,G,2022,825,92
Mandan,BAU,G2,G,2022,624,30
Mandan,BAU,G2,G,2022,728,64
Mandan,BAU,G2,G,2022,825,92
Mandan,BAU,G3,G,2022,624,30
Mandan,BAU,G3,G,2022,728,64
Mandan,BAU,H1,H,2022,624,30
Mandan,BAU,H1,H,2022,728,64
Mandan,BAU,H2,H,2022,624,30
Mandan,BAU,H2,H,2022,728,64
Mandan,BAU,H2,H,2022,825,92
Mandan,BAU,H3,H,2022,624,30
Mandan,BAU,H3,H,2022,728,64
Mandan,BAU,H3,H,2022,825,92
Mandan,BAU,I1,I,2022,624,30
Mandan,BAU,I1,I,2022,728,64
Mandan,BAU,I1,I,2022,825,92
Mandan,BAU,I2,I,2022,624,30
Mandan,BAU,I2,I,2022,728,64
Mandan,BAU,I3,I,2022,624,30
Mandan,BAU,I3,I,2022,728,64
Mandan,BAU,I3,I,2022,825,92
Morton,ASP,A1,A,2019,613,28
Morton,ASP,A1,A,2019,703,48
Morton,ASP,A1,A,2019,1030,167
Morton,ASP,A2,A,2019,613,28
Morton,ASP,A2,A,2019,703,48
Morton,ASP,A2,A,2019,1030,167
Morton,ASP,A3,A,2019,613,28
Morton,ASP,A3,A,2019,703,48
Morton,ASP,A3,A,2019,1030,167
Morton,ASP,B1,B,2019,613,28
Morton,ASP,B1,B,2019,703,48
Morton,ASP,B1,B,2019,1030,167
Morton,ASP,B2,B,2019,613,28
Morton,ASP,B2,B,2019,703,48
Morton,ASP,B2,B,2019,1030,167
Morton,ASP,B3,B,2019,613,28
Morton,ASP,B3,B,2019,703,48
Morton,ASP,B3,B,2019,1030,167
Morton,ASP,C1,C,2019,613,28
Morton,ASP,C1,C,2019,703,48
Morton,ASP,C1,C,2019,1030,167
Morton,ASP,C2,C,2019,613,28
Morton,ASP,C2,C,2019,703,48
Morton,ASP,C2,C,2019,1030,167
Morton,ASP,C3,C,2019,613,28
Morton,ASP,C3,C,2019,703,48
Morton,ASP,C3,C,2019,1030,167
Morton,ASP,D1,D,2019,613,28
Morton,ASP,D1,D,2019,703,48
Morton,ASP,D1,D,2019,1030,167
Morton,ASP,D2,D,2019,613,28
Morton,ASP,D2,D,2019,703,48
Morton,ASP,D2,D,2019,1030,167
Morton,ASP,D3,D,2019,613,28
Morton,ASP,D3,D,2019,703,48
Morton,ASP,D3,D,2019,1030,167
Morton,ASP,E1,E,2019,613,28
Morton,ASP,E1,E,2019,703,48
Morton,ASP,E1,E,2019,1030,167
Morton,ASP,E2,E,2019,613,28
Morton,ASP,E2,E,2019,703,48
Morton,ASP,E2,E,2019,1030,167
Morton,ASP,E3,E,2019,613,28
Morton,ASP,E3,E,2019,703,48
Morton,ASP,E3,E,2019,1030,167
Morton,ASP,F1,F,2019,613,28
Morton,ASP,F1,F,2019,703,48
Morton,ASP,F1,F,2019,1030,167
Morton,ASP,F2,F,2019,613,28
Morton,ASP,F2,F,2019,703,48
Morton,ASP,F2,F,2019,1030,167
Morton,ASP,F3,F,2019,613,28
Morton,ASP,F3,F,2019,703,48
Morton,ASP,F3,F,2019,1030,167
Morton,ASP,G1,G,2019,613,28
Morton,ASP,G1,G,2019,703,48
Morton,ASP,G1,G,2019,1030,167
Morton,ASP,G2,G,2019,613,28
Morton,ASP,G2,G,2019,703,48
Morton,ASP,G2,G,2019,1030,167
Morton,ASP,G3,G,2019,613,28
Morton,ASP,G3,G,2019,703,48
Morton,ASP,G3,G,2019,1030,167
Morton,ASP,H1,H,2019,613,28
Morton,ASP,H1,H,2019,703,48
Morton,ASP,H1,H,2019,1030,167
Morton,ASP,H2,H,2019,613,28
Morton,ASP,H2,H,2019,703,48
Morton,ASP,H2,H,2019,1030,167
Morton,ASP,H3,H,2019,613,28
Morton,ASP,H3,H,2019,703,48
Morton,ASP,H3,H,2019,1030,167
Morton,ASP,I1,I,2019,613,28
Morton,ASP,I1,I,2019,703,48
Morton,ASP,I1,I,2019,1030,167
Morton,ASP,I2,I,2019,613,28
Morton,ASP,I2,I,2019,703,48
Morton,ASP,I2,I,2019,1030,167
Morton,ASP,I3,I,2019,613,28
Morton,ASP,I3,I,2019,703,48
Morton,ASP,I3,I,2019,1030,167
Morton,ASP,A1,A,2020,622,31
Morton,ASP,A1,A,2020,730,69
Morton,ASP,A2,A,2020,622,31
Morton,ASP,A2,A,2020,730,69
Morton,ASP,A3,A,2020,622,31
Morton,ASP,A3,A,2020,730,69
Morton,ASP,B1,B,2020,622,31
Morton,ASP,B1,B,2020,730,69
Morton,ASP,B2,B,2020,622,31
Morton,ASP,B2,B,2020,730,69
Morton,ASP,B3,B,2020,622,31
Morton,ASP,B3,B,2020,730,69
Morton,ASP,C1,C,2020,622,31
Morton,ASP,C1,C,2020,730,69
Morton,ASP,C2,C,2020,622,31
Morton,ASP,C2,C,2020,730,69
Morton,ASP,C3,C,2020,622,31
Morton,ASP,C3,C,2020,730,69
Morton,ASP,D1,D,2020,622,31
Morton,ASP,D1,D,2020,730,69
Morton,ASP,D2,D,2020,622,31
Morton,ASP,D2,D,2020,730,69
Morton,ASP,D3,D,2020,622,31
Morton,ASP,D3,D,2020,730,69
Morton,ASP,E1,E,2020,622,31
Morton,ASP,E1,E,2020,730,69
Morton,ASP,E2,E,2020,622,31
Morton,ASP,E2,E,2020,730,69
Morton,ASP,E3,E,2020,622,31
Morton,ASP,E3,E,2020,730,69
Morton,ASP,F1,F,2020,622,31
Morton,ASP,F1,F,2020,730,69
Morton,ASP,F2,F,2020,622,31
Morton,ASP,F2,F,2020,730,69
Morton,ASP,F3,F,2020,622,31
Morton,ASP,F3,F,2020,730,69
Morton,ASP,G1,G,2020,622,31
Morton,ASP,G1,G,2020,730,69
Morton,ASP,G2,G,2020,622,31
Morton,ASP,G2,G,2020,730,69
Morton,ASP,G3,G,2020,622,31
Morton,ASP,G3,G,2020,730,69
Morton,ASP,H1,H,2020,622,31
Morton,ASP,H1,H,2020,730,69
Morton,ASP,H2,H,2020,622,31
Morton,ASP,H2,H,2020,730,69
Morton,ASP,H3,H,2020,622,31
Morton,ASP,H3,H,2020,730,69
Morton,ASP,I1,I,2020,622,31
Morton,ASP,I1,I,2020,730,69
Morton,ASP,I2,I,2020,622,31
Morton,ASP,I2,I,2020,730,69
Morton,ASP,I3,I,2020,622,31
Morton,ASP,I3,I,2020,730,69
Morton,ASP,A1,A,2021,727,61
Morton,ASP,A1,A,2021,831,95
Morton,ASP,A1,A,2021,929,124
Morton,ASP,A2,A,2021,727,61
Morton,ASP,A2,A,2021,831,95
Morton,ASP,A2,A,2021,929,124
Morton,ASP,A3,A,2021,727,61
Morton,ASP,A3,A,2021,831,95
Morton,ASP,A3,A,2021,929,124
Morton,ASP,B1,B,2021,727,61
Morton,ASP,B1,B,2021,831,95
Morton,ASP,B1,B,2021,929,124
Morton,ASP,B2,B,2021,727,61
Morton,ASP,B2,B,2021,831,95
Morton,ASP,B2,B,2021,929,124
Morton,ASP,B3,B,2021,727,61
Morton,ASP,B3,B,2021,831,95
Morton,ASP,B3,B,2021,929,124
Morton,ASP,C1,C,2021,727,61
Morton,ASP,C1,C,2021,831,95
Morton,ASP,C1,C,2021,929,124
Morton,ASP,C2,C,2021,727,61
Morton,ASP,C2,C,2021,831,95
Morton,ASP,C2,C,2021,929,124
Morton,ASP,C3,C,2021,727,61
Morton,ASP,C3,C,2021,831,95
Morton,ASP,C3,C,2021,929,124
Morton,ASP,D1,D,2021,727,61
Morton,ASP,D1,D,2021,831,95
Morton,ASP,D1,D,2021,929,124
Morton,ASP,D2,D,2021,727,61
Morton,ASP,D2,D,2021,831,95
Morton,ASP,D2,D,2021,929,124
Morton,ASP,D3,D,2021,727,61
Morton,ASP,D3,D,2021,831,95
Morton,ASP,D3,D,2021,929,124
Morton,ASP,E1,E,2021,727,61
Morton,ASP,E1,E,2021,831,95
Morton,ASP,E1,E,2021,929,124
Morton,ASP,E2,E,2021,727,61
Morton,ASP,E2,E,2021,831,95
Morton,ASP,E2,E,2021,929,124
Morton,ASP,E3,E,2021,727,61
Morton,ASP,E3,E,2021,831,95
Morton,ASP,E3,E,2021,929,124
Morton,ASP,F1,F,2021,727,61
Morton,ASP,F1,F,2021,831,95
Morton,ASP,F1,F,2021,929,124
Morton,ASP,F2,F,2021,727,61
Morton,ASP,F2,F,2021,831,95
Morton,ASP,F2,F,2021,929,124
Morton,ASP,F3,F,2021,727,61
Morton,ASP,F3,F,2021,831,95
Morton,ASP,F3,F,2021,929,124
Morton,ASP,G1,G,2021,727,61
Morton,ASP,G1,G,2021,831,95
Morton,ASP,G1,G,2021,929,124
Morton,ASP,G2,G,2021,727,61
Morton,ASP,G2,G,2021,831,95
Morton,ASP,G2,G,2021,929,124
Morton,ASP,G3,G,2021,727,61
Morton,ASP,G3,G,2021,831,95
Morton,ASP,G3,G,2021,929,124
Morton,ASP,H1,H,2021,727,61
Morton,ASP,H1,H,2021,831,95
Morton,ASP,H1,H,2021,929,124
Morton,ASP,H2,H,2021,727,61
Morton,ASP,H2,H,2021,831,95
Morton,ASP,H2,H,2021,929,124
Morton,ASP,H3,H,2021,727,61
Morton,ASP,H3,H,2021,831,95
Morton,ASP,H3,H,2021,929,124
Morton,ASP,I1,I,2021,727,61
Morton,ASP,I1,I,2021,831,95
Morton,ASP,I1,I,2021,929,124
Morton,ASP,I2,I,2021,727,61
Morton,ASP,I2,I,2021,831,95
Morton,ASP,I2,I,2021,929,124
Morton,ASP,I3,I,2021,727,61
Morton,ASP,I3,I,2021,831,95
Morton,ASP,I3,I,2021,929,124
Morton,ASP,A1,A,2022,624,32
Morton,ASP,A1,A,2022,727,65
Morton,ASP,A2,A,2022,624,32
Morton,ASP,A2,A,2022,727,65
Morton,ASP,A3,A,2022,624,32
Morton,ASP,A3,A,2022,727,65
Morton,ASP,A3,A,2022,825,94
Morton,ASP,B1,B,2022,624,32
Morton,ASP,B1,B,2022,727,65
Morton,ASP,B1,B,2022,825,94
Morton,ASP,B2,B,2022,624,32
Morton,ASP,B2,B,2022,727,65
Morton,ASP,B2,B,2022,825,94
Morton,ASP,B3,B,2022,624,32
Morton,ASP,B3,B,2022,727,65
Morton,ASP,C1,C,2022,624,32
Morton,ASP,C1,C,2022,727,65
Morton,ASP,C1,C,2022,825,94
Morton,ASP,C2,C,2022,624,32
Morton,ASP,C2,C,2022,727,65
Morton,ASP,C2,C,2022,825,94
Morton,ASP,C3,C,2022,624,32
Morton,ASP,C3,C,2022,727,65
Morton,ASP,C3,C,2022,825,94
Morton,ASP,D1,D,2022,624,32
Morton,ASP,D1,D,2022,727,65
Morton,ASP,D1,D,2022,825,94
Morton,ASP,D2,D,2022,624,32
Morton,ASP,D2,D,2022,727,65
Morton,ASP,D2,D,2022,825,94
Morton,ASP,D3,D,2022,624,32
Morton,ASP,D3,D,2022,727,65
Morton,ASP,D3,D,2022,825,94
Morton,ASP,E1,E,2022,624,32
Morton,ASP,E1,E,2022,727,65
Morton,ASP,E1,E,2022,825,94
Morton,ASP,E2,E,2022,624,32
Morton,ASP,E2,E,2022,727,65
Morton,ASP,E2,E,2022,825,94
Morton,ASP,E3,E,2022,624,32
Morton,ASP,E3,E,2022,727,65
Morton,ASP,E3,E,2022,825,94
Morton,ASP,F1,F,2022,624,32
Morton,ASP,F1,F,2022,727,65
Morton,ASP,F1,F,2022,825,94
Morton,ASP,F2,F,2022,624,32
Morton,ASP,F2,F,2022,727,65
Morton,ASP,F2,F,2022,825,94
Morton,ASP,F3,F,2022,624,32
Morton,ASP,F3,F,2022,727,65
Morton,ASP,F3,F,2022,825,94
Morton,ASP,G1,G,2022,624,32
Morton,ASP,G1,G,2022,727,65
Morton,ASP,G1,G,2022,825,94
Morton,ASP,G2,G,2022,624,32
Morton,ASP,G2,G,2022,727,65
Morton,ASP,G2,G,2022,825,94
Morton,ASP,G3,G,2022,624,32
Morton,ASP,G3,G,2022,727,65
Morton,ASP,G3,G,2022,825,94
Morton,ASP,H1,H,2022,624,32
Morton,ASP,H1,H,2022,727,65
Morton,ASP,H1,H,2022,825,94
Morton,ASP,H2,H,2022,624,32
Morton,ASP,H2,H,2022,727,65
Morton,ASP,H2,H,2022,825,94
Morton,ASP,H3,H,2022,624,32
Morton,ASP,H3,H,2022,727,65
Morton,ASP,H3,H,2022,825,94
Morton,ASP,I1,I,2022,624,32
Morton,ASP,I1,I,2022,727,65
Morton,ASP,I1,I,2022,825,94
Morton,ASP,I2,I,2022,624,32
Morton,ASP,I2,I,2022,727,65
Morton,ASP,I2,I,2022,825,94
Morton,ASP,I3,I,2022,624,32
Morton,ASP,I3,I,2022,727,65
Morton,ASP,I3,I,2022,825,94
